Venoshock,Poison,65,100,10,,The user drenches the target in a special poisonous liquid. This move's power is doubled if the target is poisoned
Assurance,Dark,60,100,10,,If the target has already taken some damage in the same turn, this attack's power is doubled
Toxic Spikes,Poison,,,20,,The user lays a trap of poison spikes at the feet of the opposing team. The spikes will poison opposing Pokémon that switch into battle
Pin Missile,Bug,25,95,20,,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row
Poison Jab,Poison,80,100,20,30,The target is stabbed with a tentacle or arm steeped in poison. This may also poison the target
Agility,Psychic,,,30,,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat
Endeavor,Normal,,100,5,,This attack move cuts down the target's HP to equal the user's HP
Fell Stinger,Bug,50,100,25,,When the user knocks out a target with this move, the user's Attack stat rises drastically
Sand Attack,Ground,,100,15,,Sand is hurled in the target's face, reducing the target's accuracy
Quick Attack,Normal,40,100,30,,The user lunges at the target at a speed that makes it almost invisible. This move always goes first
Twister,Dragon,40,100,20,20,The user whips up a vicious tornado to tear at the opposing Pokémon. This may also make them flinch
Feather Dance,Flying,,100,15,,The user covers the target's body with a mass of down that harshly lowers its Attack stat
Roost,Flying,,,10,,The user lands and rests its body. It restores the user's HP by up to half of its max HP
Mirror Move,Flying,,,20,,The user counters the target by mimicking the target's last move
Hurricane,Flying,110,70,10,30,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target
Hyper Fang,Normal,80,90,15,10,The user bites hard on the target with its sharp front fangs. This may also make the target flinch
Crunch,Dark,80,100,15,20,The user crunches up the target with sharp fangs. This may also lower the target's Defense stat
Sucker Punch,Dark,70,100,5,,This move enables the user to attack first. This move fails if the target is not readying an attack
Super Fang,Normal,,90,10,,The user chomps hard on the target with its sharp front fangs. This cuts the target's HP in half
Swords Dance,Normal,,,20,,A frenetic dance to uplift the fighting spirit. This sharply raises the user's Attack stat
Peck,Flying,35,100,35,,The target is jabbed with a sharply pointed beak or horn
Leer,Normal,,100,30,100,The user gives opposing Pokémon an intimidating leer that lowers the Defense stat
Aerial Ace,Flying,60,,20,,The user confounds the target with speed, then slashes. This attack never misses
Drill Peck,Flying,80,100,20,,A corkscrewing attack with a sharp beak acting as a drill
Drill Run,Ground,80,95,10,,The user crashes into its target while rotating its body like a drill. Critical hits land more easily
Pluck,Flying,60,100,20,,The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect
Wrap,Normal,15,90,20,100,A long body, vines, or the like are used to wrap and  squeeze the target for four to five turns
Glare,Normal,,100,30,,The user intimidates the target with the pattern on its belly to cause paralysis
Screech,Normal,,85,40,,An earsplitting screech harshly lowers the target's Defense stat
Acid,Poison,40,100,30,10,The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stat
Stockpile,Normal,,,20,,The user charges up power and raises both its Defense and Sp. Def stats. The move can be used three times
Swallow,Normal,,,10,,The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP
Spit Up,Normal,,100,10,,The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the move's power
Acid Spray,Poison,40,100,20,100,The user spits fluid that works to melt the target. This harshly lowers the target's Sp. Def stat
Mud Bomb,Ground,65,85,10,30,The user launches a hard-packed mud ball to attack. This may also lower the target's accuracy
Gastro Acid,Poison,,100,10,,The user hurls up its stomach acids on the target. The fluid eliminates the effect of the target's Ability
Belch,Poison,120,90,10,,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move
Haze,Ice,,,30,,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle
Coil,Poison,,,20,,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy
Gunk Shot,Poison,120,80,5,30,The user shoots filthy garbage at the target to attack. This may also poison the target
Ice Fang,Ice,65,95,15,20,The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen
Thunder Fang,Electric,65,95,15,20,The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis
Thunder Shock,Electric,40,100,30,10,A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis
Play Nice,Normal,,,20,100,The user and the target become friends, and the target loses its will to fight. This lowers the target's Attack stat
Electro Ball,Electric,,100,10,,The user hurls an electric orb at the target. The faster the user is than the target, the greater the move's power
Thunder Wave,Electric,,90,20,,The user launches a weak jolt of electricity that paralyzes the target
Feint,Normal,30,100,10,,This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves
Double Team,Normal,,,15,,By moving rapidly, the user makes illusory copies of itself to raise its evasiveness
Spark,Electric,65,100,20,30,The user throws an electrically charged tackle at the target. This may also leave the target with paralysis
Nuzzle,Electric,20,100,20,100,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis
Discharge,Electric,80,100,15,30,The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis
Slam,Normal,80,75,20,,The target is slammed with a long tail, vines, or the like to inflict damage
Thunderbolt,Electric,90,100,15,10,A strong electric blast crashes down on the target. This may also leave the target with paralysis
Wild Charge,Electric,90,100,15,,The user shrouds itself in electricity and smashes into its target. This also damages the user a little
Light Screen,Psychic,,,30,,A wondrous wall of light is put up to reduce damage from special attacks for five turns
Thunder,Electric,110,70,10,30,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis
Defense Curl,Normal,,,40,,The user curls up to conceal weak spots and raise its Defense stat
Rollout,Rock,30,90,20,,The user continually rolls into the target over five turns. It becomes more powerful each time it hits
Fury Cutter,Bug,40,95,20,,The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession
Magnitude,Ground,,100,30,,The user attacks everything around it with a ground-shaking quake. Its power varies
Swift,Normal,60,,20,,Star-shaped rays are shot at the opposing Pokémon. This attack never misses
Fury Swipes,Normal,18,80,15,,The target is raked with sharp claws or scythes quickly two to five times in a row
Sand Tomb,Ground,35,85,15,100,The user traps the target inside a harshly raging sandstorm for four to five turns
Dig,Ground,80,100,10,,The user burrows, then attacks on the next turn
Gyro Ball,Steel,,100,5,,The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move's power
Sandstorm,Rock,,,10,,A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types. It raises the Sp. Def stat of Rock types
Earthquake,Ground,100,100,10,,The user sets off an earthquake that strikes every Pokémon around it
Crush Claw,Normal,75,95,10,50,The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat
Double Kick,Fighting,30,100,30,,The target is quickly kicked twice in succession using both feet
Helping Hand,Normal,,,20,,The user assists an ally by boosting the power of that ally's attack
Flatter,Dark,,100,15,,Flattery is used to confuse the target. However, this also raises the target's Sp. Atk stat
Poison Fang,Poison,50,100,15,50,The user bites the target with toxic fangs. This may also leave the target badly poisoned
Superpower,Fighting,120,100,5,100,The user attacks the target with great power. However, this also lowers the user's Attack and Defense stats
Chip Away,Normal,70,100,20,,Looking for an opening, the user strikes consistently. The target's stat changes don't affect this attack's damage
Body Slam,Normal,85,100,15,30,The user drops onto the target with its full body weight. This may also leave the target with paralysis
Earth Power,Ground,90,100,10,10,The user makes the ground under the target erupt with power. This may also lower the target's  Sp. Def stat
Horn Attack,Normal,65,100,25,,The target is jabbed with a sharply pointed horn to inflict damage
Horn Drill,Normal,,30,5,,The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits
Megahorn,Bug,120,85,10,,Using its tough and impressive horn, the user rams into the target with no letup
Thrash,Normal,120,100,10,,The user rampages and attacks for two to three turns. The user then becomes confused
Spotlight,Normal,,,15,,The user shines a spotlight on the target so that only the target will be attacked during the turn
Disarming Voice,Fairy,40,,15,,Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses
Pound,Normal,40,100,35,,The target is physically pounded with a long tail, a foreleg, or the like
Encore,Normal,,100,5,,The user compels the target to keep using the move it encored for three turns
Sing,Normal,,55,15,,A soothing lullaby is sung in a calming voice that puts the target into a deep slumber
Double Slap,Normal,15,85,10,,The target is slapped repeatedly, back and forth, two to five times in a row
Follow Me,Normal,,,20,,The user draws attention to itself, making all targets take aim only at the user
Bestow,Normal,,,15,,The user passes its held item to the target when the target isn't holding an item
Wake-Up Slap,Fighting,70,100,10,,This attack inflicts big damage on a sleeping target. This also wakes the target up, however
Minimize,Normal,,,10,,The user compresses its body to make itself look smaller, which sharply raises its evasiveness
Stored Power,Psychic,20,100,10,,The user attacks the target with stored power. The more the user's stats are raised, the greater the move's power
Metronome,Normal,,,10,,The user waggles a finger and stimulates its brain into randomly using nearly any move
Cosmic Power,Psychic,,,20,,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats
Lucky Chant,Normal,,,30,,The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits for five turns
Moonlight,Fairy,,,5,,The user restores its own HP. The amount of HP regained varies with the weather
Moonblast,Fairy,95,100,15,30,Borrowing the power of the moon, the user attacks the target. This may also lower the target's Sp. Atk stat
Gravity,Psychic,,,5,,Enables Flying-type Pokémon or Pokémon with the Levitate Ability to be hit by Ground-type moves. Flying moves can't be used
Meteor Mash,Steel,90,90,10,20,The target is hit with a hard punch fired like a meteor. This may also raise the user's Attack stat
Healing Wish,Psychic,,,10,,The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured
After You,Normal,,,15,,The user helps the target and makes it use its move right after the user
Roar,Normal,,,20,,The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon
Baby-Doll Eyes,Fairy,,100,30,,The user stares at the target with its baby-doll eyes, which lowers its Attack stat. This move always goes first
Confuse Ray,Ghost,,100,10,,The target is exposed to a sinister ray that triggers confusion
Payback,Dark,50,100,10,,The user stores power, then attacks. If the user moves after the target, this attack's power will be doubled
Will-O-Wisp,Fire,,85,15,,The user shoots a sinister, bluish-white flame at the target to inflict a burn
Feint Attack,Dark,60,,20,,The user approaches the target disarmingly, then throws a sucker punch. This attack never misses
Hex,Ghost,65,100,10,,This relentless attack does massive damage to a target affected by status conditions
Extrasensory,Psychic,80,100,20,10,The user attacks with an odd, unseeable power. This may also make the target flinch
Imprison,Psychic,,,10,,If opposing Pokémon know any move also known by the user, they are prevented from using it
Fire Blast,Fire,110,85,5,10,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn
Grudge,Ghost,,,5,,If the user faints, the user's grudge fully depletes the PP of the opponent's move that knocked it out
Nasty Plot,Dark,,,20,,The user stimulates its brain by thinking bad thoughts. This sharply raises the user's Sp. Atk stat
Disable,Normal,,100,20,,For four turns, this move prevents the target from using the move it last used
Round,Normal,60,100,15,,The user attacks the target with a song. Others can join in the Round to increase the power of the attack
Rest,Psychic,,,10,,The user goes to sleep for two turns. This fully restores the user's HP and heals any status conditions
Mimic,Normal,,,10,,The user copies the target's last move. The move can be used during battle until the Pokémon is switched out
Hyper Voice,Normal,90,100,10,,The user lets loose a horribly echoing shout with the power to inflict damage
Play Rough,Fairy,90,90,10,10,The user plays rough with the target and attacks it. This may also lower the target's Attack stat
Absorb,Grass,20,100,25,,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target
Astonish,Ghost,30,100,15,30,The user attacks the target while shouting in a startling fashion. This may also make the target flinch
Air Cutter,Flying,60,95,25,,The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily
Mean Look,Normal,,,5,,The user pins the target with a dark, arresting look. The target becomes unable to flee
Leech Life,Bug,80,100,10,,The user drains the target's blood. The user's HP is restored by half the damage taken by the target
Quick Guard,Fighting,,,15,,The user protects itself and its allies from priority moves
Mega Drain,Grass,40,100,15,,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target
Giga Drain,Grass,75,100,10,,A nutrient-draining attack. The user's HP is restored by half the damage taken by the target
Toxic,Poison,,90,10,,A move that leaves the target badly poisoned. Its poison damage worsens every turn
Natural Gift,Normal,,100,15,,The user draws power to attack by using its held Berry. The Berry determines the move's type and power
Grassy Terrain,Grass,,,10,,The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass type-moves
Aromatherapy,Grass,,,5,,The user releases a soothing scent that heals all status conditions affecting the user's party
Spore,Grass,,100,15,,The user scatters bursts of spores that induce sleep
X-Scissor,Bug,80,100,15,,The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors
Cross Poison,Poison,70,100,20,10,A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily
Foresight,Normal,,,40,,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit
Signal Beam,Bug,75,100,15,10,The user attacks with a sinister beam of light. This may also confuse the target
Zen Headbutt,Psychic,80,90,15,20,The user focuses its willpower to its head and attacks the target. This may also make the target flinch
Psychic,Psychic,90,100,10,10,The target is hit by a strong telekinetic force. This may also lower the target's Sp. Def stat
Mud-Slap,Ground,20,100,10,100,The user hurls mud in the target's face to inflict damage and lower its accuracy
Bulldoze,Ground,60,100,20,100,The user strikes everything around it by stomping down on the ground. This lowers the Speed stat of those hit
Fissure,Ground,,30,5,,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits
Rototiller,Ground,,,10,100,Tilling the soil, the user makes it easier for plants to grow. This raises the Attack and Sp. Atk stats of Grass-type Pokémon
Night Slash,Dark,70,100,15,,The user slashes the target the instant an opportunity arises. Critical hits land more easily
Tri Attack,Normal,80,100,10,20,The user strikes with a simultaneous three-beam attack. May also burn, freeze, or paralyze the target
Fake Out,Normal,40,100,10,100,This attack hits first and makes the target flinch. It only works the first turn the user is in battle
Taunt,Dark,,100,20,,The target is taunted into a rage that allows it to use only attack moves for three turns
Pay Day,Normal,40,100,20,,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle
Switcheroo,Dark,,100,10,,The user trades held items with the target faster than the eye can follow
Power Gem,Rock,80,100,20,,The user attacks with a ray of light that sparkles as if it were made of gemstones
Water Sport,Water,,,15,,The user soaks the battlefield with water. This weakens Fire-type moves for five turns
Soak,Water,,100,20,,The user shoots a torrent of water at the target and changes the target's type to Water
Psych Up,Normal,,,10,,The user hypnotizes itself into copying any stat change made by the target
Amnesia,Psychic,,,20,,The user temporarily empties its mind to forget its concerns. This sharply raises the user's Sp. Def stat
Wonder Room,Psychic,,,10,,The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns
Me First,Normal,,,20,,The user cuts ahead of the target to copy and use the target's intended move with greater power. This move fails if it isn't used first
Aqua Jet,Water,40,100,20,,The user lunges at the target at a speed that makes it almost invisible. This move always goes first
Covet,Normal,60,100,25,,The user endearingly approaches the target, then steals the target's held item
Low Kick,Fighting,,100,20,,A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power
Karate Chop,Fighting,50,100,25,,The target is attacked with a sharp chop. Critical hits land more easily
Seismic Toss,Fighting,,100,20,,The target is thrown using the power of gravity. It inflicts damage equal to the user's level
Swagger,Normal,,85,15,,The user enrages and confuses the target. However, this also sharply raises the target's Attack stat
Cross Chop,Fighting,100,80,5,,The user delivers a double chop with its forearms crossed. Critical hits land more easily
Punishment,Dark,,100,5,,The more the target has powered up with stat changes, the greater the move's power
Close Combat,Fighting,120,100,5,100,The user fights the target up close without guarding itself. This also lowers the user's Defense and Sp. Def stats
Stomping Tantrum,Ground,75,100,10,,Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles
Outrage,Dragon,120,100,10,,The user rampages and attacks for two to three turns. The user then becomes confused
Final Gambit,Fighting,,100,5,,The user risks everything to attack its target. The user faints but does damage equal to its HP
Fling,Dark,,100,10,,The user flings its held item at the target to attack. This move's power and effects depend on the item
Odor Sleuth,Normal,,,40,,Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit
Flame Wheel,Fire,60,100,25,10,The user cloaks itself in fire and charges at the target. This may also leave the target with a burn
Reversal,Fighting,,100,15,,An all-out attack that becomes more powerful the less HP the user has
Retaliate,Normal,70,100,5,,The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this move's power is increased
Extreme Speed,Normal,80,100,5,,The user charges the target at blinding speed. This move always goes first
Hypnosis,Psychic,,60,20,,The user employs hypnotic suggestion to make the target fall into a deep sleep
Bubble Beam,Water,65,100,20,10,A spray of bubbles is forcefully ejected at the target. This may also lower its Speed stat
Mud Shot,Ground,55,95,15,100,The user attacks by hurling a blob of mud at the target. This also lowers the target's Speed stat
Belly Drum,Normal,,,10,,The user maximizes its Attack stat in exchange for HP equal to half its max HP
Submission,Fighting,80,80,20,,The user grabs the target and recklessly dives for the ground. This also damages the user a little
Circle Throw,Fighting,60,90,10,,The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon
Dynamic Punch,Fighting,100,50,5,100,The user punches the target with full, concentrated power. This confuses the target if it hits
Mind Reader,Normal,,,5,,The user senses the target's movements with its mind to ensure its next attack does not miss the target
Teleport,Psychic,,,20,,Use it to flee from any wild Pokémon
Kinesis,Psychic,,80,15,,The user distracts the target by bending a spoon. This lowers the target's accuracy
Miracle Eye,Psychic,,,40,,Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit
Reflect,Psychic,,,20,,A wondrous wall of light is put up to reduce damage from physical attacks for five turns
Psycho Cut,Psychic,70,100,20,,The user tears at the target with blades formed by psychic power. Critical hits land more easily
Recover,Normal,,,10,,Restoring its own cells, the user restores its own HP by half of its max HP
Telekinesis,Psychic,,,15,,The user makes the target float with its psychic power. The target is easier to hit for three turns
Ally Switch,Psychic,,,15,,The user teleports using a strange power and switches places with one of its allies
Role Play,Psychic,,,10,,The user mimics the target completely, copying the target's natural Ability
Future Sight,Psychic,120,100,10,,Two turns after this move is used, a hunk of psychic energy attacks the target
Trick,Psychic,,100,10,,The user catches the target off guard and swaps its held item with its own
Calm Mind,Psychic,,,20,,The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats
Low Sweep,Fighting,65,100,20,100,The user makes a swift attack on the target's legs, which lowers the target's Speed stat
Revenge,Fighting,60,100,10,,This attack move's power is doubled if the user has been hurt by the opponent in the same turn
Knock Off,Dark,65,100,20,,The user slaps down the target's held item, and that item can't be used in that battle. The move does more damage if the target has a held item
Vital Throw,Fighting,70,,10,,The user attacks last. In return, this throw move never misses
Dual Chop,Dragon,40,90,15,,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row
Bulk Up,Fighting,,,20,,The user tenses its muscles to bulk up its body, raising both its Attack and Defense stats
Strength,Normal,80,100,15,,The target is slugged with a punch thrown at maximum power
Wide Guard,Rock,,,10,,The user and its allies are protected from wide-ranging attacks for one turn
Wring Out,Normal,,100,5,,The user powerfully wrings the target. The more HP the target has, the greater the move's power
Leaf Tornado,Grass,65,90,10,50,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target's accuracy
Leaf Storm,Grass,130,90,5,100,The user whips up a storm of leaves around the target. The attack's recoil harshly lowers the user's Sp. Atk stat
Leaf Blade,Grass,90,100,15,,The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily
Constrict,Normal,10,100,35,10,The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target's  Speed stat
Barrier,Psychic,,,20,,The user throws up a sturdy wall that sharply raises its Defense stat
Brine,Water,65,100,10,,If the target's HP is half or less, this attack will hit with double the power
Sludge Wave,Poison,95,100,10,10,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit
Reflect Type,Normal,,,15,,The user reflects the target's type, making it the same type as the target
Mud Sport,Ground,,,15,,The user kicks up mud on the battlefield. This weakens Electric-type moves for five turns
Rock Polish,Rock,,,20,,The user polishes its body to reduce drag. This can sharply raise the Speed stat
Rock Throw,Rock,50,90,15,,The user picks up and throws a small rock at the target to attack
Smack Down,Rock,50,100,15,100,The user throws a stone or similar projectile to attack an opponent. A flying Pokémon will fall to the ground when it's hit
Self-Destruct,Normal,200,100,5,,The user attacks everything around it by causing an explosion. The user faints upon using this move
Stealth Rock,Rock,,,20,,The user lays a trap of levitating stones around the opposing team. The trap hurts opposing Pokémon that switch into battle
Rock Blast,Rock,25,90,10,,The user hurls hard rocks at the target. Two to five rocks are launched in a row
Explosion,Normal,250,100,5,,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move
Stone Edge,Rock,100,80,5,,The user stabs the target from below with sharpened stones. Critical hits land more easily
Heavy Slam,Steel,,100,10,,The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move's power
Steamroller,Bug,65,100,20,30,The user crushes its target by rolling over the target with its rolled-up body. This may also make the target flinch
Stomp,Normal,65,100,20,30,The target is stomped with a big foot. This may also make the target flinch
Flame Charge,Fire,50,100,20,100,Cloaking itself in flame, the user attacks. Then, building up more power, the user raises its Speed stat
Bounce,Flying,85,85,5,30,The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis
Curse,Ghost,,,10,,A move that works differently for the Ghost type than for all other types
Yawn,Normal,,,10,,The user lets loose a huge yawn that lulls the target into falling asleep on the next turn
Headbutt,Normal,70,100,15,30,The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch
Slack Off,Normal,,,10,,The user slacks off, restoring its own HP by up to half of its max HP
Heal Pulse,Psychic,,,10,,The user emits a healing pulse that restores the target's HP by up to half of its max HP
Magnet Bomb,Steel,60,,20,,The user launches steel bombs that stick to the target. This attack never misses
Sonic Boom,Normal,,90,20,,The target is hit with a destructive shock wave that always inflicts 20 HP damage
